Item ID, ,Top Item,Description,URL,Campaign,Content Provider,Viewable Impressions,vCTR,Clicks,Actual CPC,vCPM,Conversion Rate,Conversion Rate (Clicks),Conversions,CPA,Spent,Item Value, 
2977877567,#NAME?,Top Doc: Simple Trick to Lose Belly Fat For Good,,https://www.dkawellness.com/dka-bb-advwl2-tba/?time_elapsed=1&tab_comp=1&noplay=1&controls=1,Copy of DKA BB - Mob/Tab - WL Adv Test,United Naturals - Dr. Kellyann Bone Broth - SC,"4,827,470",0.74%,"35,607",$0.490,$3.61,0.38%,0.38%,135,$129.08,"$17,425.32",$0.37,
3012802381,#NAME?,${region:capitalized}$: Say Bye To Your Home Insurance Bill If You Live In These Zip Codes,Don't pay another home insurance bill until you see this.,https://tracking.uytur.com/6e07d46d-daba-4317-b705-cb124db1d6ba?a=0&n=T&c=ab147056-9bb4-4c3f-9227-c00d8fa2cade&i=ab147056-9bb4-4c3f-9227-c00d8fa2cade,T_OTTO_HOME_DTF_TOPSTATES_CV_070121_US_DESK,Quad 2 Media - Auto Savings - SC,"3,073,939",0.86%,"26,505",$0.660,$5.66,0.00%,0.00%,0,$0.00,"$17,410.95",$0.56,
-,#NAME?,"Utah women receive J&J vaccine, citing trust in CDC's decision and desire to see family.",,https://insight.adsrvr.org/track/clk?imp=1171ff47-5282-4c27-934d-d848c4bf1e19&ag=50kyrox&sfe=12eaa380&sig=1MoR-lwTGGVm-rqY_n1SB9jGyvJUAGazTzmIGiNbAqU.&crid=pxykzcjc&cf=2259168&fq=0&t=1&td_s=ntp.msn.com&rcats=y29&mcat=dv-51001818&mste=&mfld=4&mssi=None&mfsi=mtqibr84id&sv=taboola&uhow=1&agsa=&wp=${AUCTION_PRICE}&rgco=United%20States&rgre=Delaware&rgme=504&rgci=Wilmington&rgz=19808&dt=PC&osf=Windows&os=Windows10&br=Edge&svpid=1225264&rlangs=01&mlang=&did=9850229&rcxt=Other&tmpc=&vrtd=&osi=&osv=&daid=26d95ea7-334a-6317-282e-530732c86226&dnr=0&vpb=&c=OAFQAVgFeG-AAQCIAQM.&dur=ChoKB2kxZTdrYTEiDwjBjbcBEgh0dGRhYnNlZwowCgxjaGFyZ2UtYWxsLTEiIAj___________8BEhN0dGRfZGF0YV9leGNsdXNpb25zCj4KIWNoYXJnZS1tYXhEb3VibGVWZXJpZnlCcmFuZFNhZmV0eSIZCNv__________wESDGRvdWJsZXZlcmlmeQ..&durs=EnVMmp&crrelr=&npt=1&svscid=521932274&mk=Microsoft&mdl=Edge%20-%20Windows&adpt=tb_ltaboola&ipl=521932274&pcm=1&ict=WiFi&said=36128729386050931&auct=1&us_privacy=1---&r=https://ad.doubleclick.net/ddm/trackclk/N1395.284566THETRADEDESK/B22602652.303232399;dc_trk_aid=495984058;dc_trk_cid=150561977;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;gdpr=0;gdpr_consent=;ltd=,TheTradeDesk - Safe- Always On,TheTradeDesk - Default Seat,"1,741,592",0.50%,"8,726",$1.980,$9.93,0.00%,0.00%,0,$0.00,"$17,294.90",$1.29,
2983577249,#NAME?,Forget the 30yr mortgage if you owe less than $356K. (Do this instead),"If you owe less than $356,362 on your home and haven't missed a mortgage payment in 6 months, check out this mortgage stimulus program for the middle class. Tap here to Calculate a new house payment today.",https://www.lowermybills.com/lending/home-refinance/?sourceid=lmb-64668-141892-277901&moid=275638,LRE_MSN_NoTarget_Desktop_1x1_03152021_1,Core Digital - LowerMyBills - SC,"6,516,104",0.14%,"9,006",$1.900,$2.63,1.02%,0.66%,92,$186.21,"$17,131.73",$0.57,
3002275657,#NAME?,Tommy Chong: Stop Wasting Your Money On CBD,,https://www.vp21atrk.com/PBGRT/6JHXF/,Mobile (Stop Wasting) - Cold - Whitelist,Valkyrie Partners - Tommy Chung- SC,"6,058,606",0.67%,"40,733",$0.420,$2.79,0.35%,0.34%,141,$119.85,"$16,898.96",$0.35,
2947636046,#NAME?,"Pour Dish Soap In Your Bath Tub At Night, Here's Why",,https://www.thedelite.com/home-repair-tips-easy/,319626| SOAPY TAPE,AdRizer - TheDelite - SC,"2,810,961",3.06%,"85,997",$0.200,$6.01,30.90%,30.90%,"26,569",$0.64,"$16,880.00",$0.58,
3012648034,#NAME?,${region:capitalized}$ Drivers With No DUI's Getting A Pay Day This July (Check If You Qualify)   ,,https://articles.comparisons.org/why-did-no-one-tell-drivers-with-no-tickets-in-3-years-about-this-rule-v5.php?aff=1169&sub=Auto_Insurance_Mob%7D&logos=0&xcode=%7Bclick_id%7D&aff_unique3=%7Bcampaign_id%7D&aff_unique5=%7Bcampaign_item_id%7D,Auto Insurance Mobile,Media Force - Car Insurance - SC,"3,734,918",1.12%,"41,930",$0.400,$4.51,4.25%,4.25%,"1,781",$9.46,"$16,841.43",$0.50,
2992617334,#NAME?,New Cadillac's Finally On Sale,,https://searchtopics.net/index.php?rgid=122721,Cadillac_DT_Taboola,Nimble 5 - SearchTopics.TB.JPowers.502 (Auto) - SC,"5,534,251",0.43%,"23,903",$0.690,$3.00,29.00%,28.99%,"6,931",$2.39,"$16,597.69",$0.48,
-,#NAME?,Vaccine seekers show preference for J&J,,https://insight.adsrvr.org/track/clk?imp=46d0ebfa-88ea-44a1-8c18-cac0a3ae02a3&ag=z2rvynq&sfe=12d1daf2&sig=WnJMmTvNl_76p9u957oyvfNy5ktfmwc_5iE85jg9rVo.&crid=i1xvk70c&cf=2259168&fq=0&t=1&td_s=www.ksdk.com&rcats=y29&mcat=dv-51001818&mste=&mfld=4&mssi=None&mfsi=lslq3l8i8b&sv=taboola&uhow=53&agsa=&wp=${AUCTION_PRICE}&rgco=United%20States&rgre=Missouri&rgme=609&rgci=St%20Louis&rgz=63116&dt=Mobile&osf=Android&os=Android90&br=Chrome&svpid=1037840&rlangs=en&mlang=&did=9850259&rcxt=Other&tmpc=&vrtd=&osi=&osv=&daid=&dnr=0&vpb=&c=OAFQAVgFeG-AAQGIAQM.&dur=CiYKDWNoYXJnZS1hbGwtMTciFQjv__________8BEghpYXhkMDAxYQoaCgc0MmFiNjFtIg8IwY23ARIIdHRkYWJzZWcKPgohY2hhcmdlLW1heERvdWJsZVZlcmlmeUJyYW5kU2FmZXR5IhkI2___________ARIMZG91YmxldmVyaWZ5&durs=BJJfZM&crrelr=&npt=1&svscid=543015452&mk=Motorola&mdl=XT2005DL&testid=PCM%28SM%2Fv%3D2%2Fdate%3D20210511%29&adpt=tb_ltaboola&pcm=1&ict=WiFi&said=251738135639209434&auct=1&us_privacy=1---&r=https://ad.doubleclick.net/ddm/trackclk/N1395.284566THETRADEDESK/B22602652.303232390;dc_trk_aid=495984049;dc_trk_cid=150585205;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;gdpr=0;gdpr_consent=;ltd=,TheTradeDesk - Safe- Always On,TheTradeDesk - Default Seat,"1,664,505",0.32%,"5,377",$3.070,$9.93,0.00%,0.00%,0,$0.00,"$16,531.33",$1.30,
3005273599,#NAME?,The 5 Books to Read to Transform Your Life in 2021,,https://www.blinkist.com/magazine/posts/5-books-will-change-life,20200729_TB_PRO_ChangeYourLife_iOS_RoW,Blinks Labs GmbH - SC,"9,473,069",0.52%,"48,981",$0.340,$1.74,2.26%,2.26%,"1,109",$14.88,"$16,506.17",$0.16,
